12/16/14-10:52:46	---INITIALIZING POD SYSTEM---

12/16/14-10:52:47	id: 1
12/16/14-10:52:47	run: False
12/16/14-10:52:47	loc: station_1
12/16/14-10:52:47	spd: 0
12/16/14-10:52:47	prx: 0

12/16/14-10:52:49	id: 1
12/16/14-10:52:49	run: False
12/16/14-10:52:49	loc: station_1
12/16/14-10:52:49	spd: 0
12/16/14-10:52:49	prx: 0

12/16/14-10:52:51	id: 1
12/16/14-10:52:51	run: False
12/16/14-10:52:51	loc: station_1
12/16/14-10:52:51	spd: 0
12/16/14-10:52:51	prx: 0

12/16/14-10:52:53	id: 1
12/16/14-10:52:53	run: False
12/16/14-10:52:53	loc: station_1
12/16/14-10:52:53	spd: 0
12/16/14-10:52:53	prx: 0

12/16/14-10:52:55	id: 1
12/16/14-10:52:55	run: False
12/16/14-10:52:55	loc: station_1
12/16/14-10:52:55	spd: 0
12/16/14-10:52:55	prx: 0

12/16/14-10:53:08	id: 1
12/16/14-10:53:08	run: False
12/16/14-10:53:08	loc: station_1
12/16/14-10:53:08	spd: 0
12/16/14-10:53:08	prx: 0

12/16/14-10:53:13	id: 1
12/16/14-10:53:13	run: False
12/16/14-10:53:13	loc: station_1
12/16/14-10:53:13	spd: 0
12/16/14-10:53:13	prx: 0

12/16/14-10:53:24	id: 1
12/16/14-10:53:24	run: False
12/16/14-10:53:24	loc: station_1
12/16/14-10:53:24	spd: 0
12/16/14-10:53:24	prx: 0

12/16/14-10:53:35	id: 1
12/16/14-10:53:35	run: False
12/16/14-10:53:35	loc: station_1
12/16/14-10:53:35	spd: 0
12/16/14-10:53:35	prx: 0

12/16/14-10:53:40	id: 1
12/16/14-10:53:40	run: False
12/16/14-10:53:40	loc: station_1
12/16/14-10:53:40	spd: 0
12/16/14-10:53:40	prx: 0

12/16/14-10:53:45	id: 1
12/16/14-10:53:45	run: False
12/16/14-10:53:45	loc: station_1
12/16/14-10:53:45	spd: 0
12/16/14-10:53:45	prx: 0

12/16/14-10:53:50	id: 1
12/16/14-10:53:50	run: False
12/16/14-10:53:50	loc: station_1
12/16/14-10:53:50	spd: 0
12/16/14-10:53:50	prx: 0

12/16/14-10:53:55	id: 1
12/16/14-10:53:55	run: False
12/16/14-10:53:55	loc: station_1
12/16/14-10:53:55	spd: 0
12/16/14-10:53:55	prx: 0

12/16/14-10:54:00	id: 1
12/16/14-10:54:00	run: False
12/16/14-10:54:00	loc: station_1
12/16/14-10:54:00	spd: 0
12/16/14-10:54:00	prx: 0

12/16/14-10:54:05	id: 1
12/16/14-10:54:05	run: False
12/16/14-10:54:05	loc: station_1
12/16/14-10:54:05	spd: 0
12/16/14-10:54:05	prx: 0

12/16/14-10:54:10	id: 1
12/16/14-10:54:10	run: False
12/16/14-10:54:10	loc: station_1
12/16/14-10:54:10	spd: 0
12/16/14-10:54:10	prx: 0

12/16/14-10:54:15	id: 1
12/16/14-10:54:15	run: False
12/16/14-10:54:15	loc: station_1
12/16/14-10:54:15	spd: 0
12/16/14-10:54:15	prx: 0

12/16/14-10:54:20	id: 1
12/16/14-10:54:20	run: False
12/16/14-10:54:20	loc: station_1
12/16/14-10:54:20	spd: 0
12/16/14-10:54:20	prx: 0

12/16/14-10:54:25	id: 1
12/16/14-10:54:25	run: False
12/16/14-10:54:25	loc: station_1
12/16/14-10:54:25	spd: 0
12/16/14-10:54:25	prx: 0

12/16/14-10:54:30	id: 1
12/16/14-10:54:30	run: False
12/16/14-10:54:30	loc: station_1
12/16/14-10:54:30	spd: 0
12/16/14-10:54:30	prx: 0

12/16/14-10:54:35	id: 1
12/16/14-10:54:35	run: False
12/16/14-10:54:35	loc: station_1
12/16/14-10:54:35	spd: 0
12/16/14-10:54:35	prx: 0

12/16/14-10:54:40	id: 1
12/16/14-10:54:40	run: False
12/16/14-10:54:40	loc: station_1
12/16/14-10:54:40	spd: 0
12/16/14-10:54:40	prx: 0

12/16/14-10:54:45	id: 1
12/16/14-10:54:45	run: False
12/16/14-10:54:45	loc: station_1
12/16/14-10:54:45	spd: 0
12/16/14-10:54:45	prx: 0

12/16/14-10:54:50	id: 1
12/16/14-10:54:50	run: False
12/16/14-10:54:50	loc: station_1
12/16/14-10:54:50	spd: 0
12/16/14-10:54:50	prx: 0

12/16/14-10:55:01	id: 1
12/16/14-10:55:01	run: False
12/16/14-10:55:01	loc: station_1
12/16/14-10:55:01	spd: 0
12/16/14-10:55:01	prx: 0

12/16/14-10:55:06	id: 1
12/16/14-10:55:06	run: False
12/16/14-10:55:06	loc: station_1
12/16/14-10:55:06	spd: 0
12/16/14-10:55:06	prx: 0

12/16/14-10:55:11	id: 1
12/16/14-10:55:11	run: False
12/16/14-10:55:11	loc: station_1
12/16/14-10:55:11	spd: 0
12/16/14-10:55:11	prx: 0

12/16/14-10:55:16	id: 1
12/16/14-10:55:16	run: False
12/16/14-10:55:16	loc: station_1
12/16/14-10:55:16	spd: 0
12/16/14-10:55:16	prx: 0

12/16/14-10:55:21	id: 1
12/16/14-10:55:21	run: False
12/16/14-10:55:21	loc: station_1
12/16/14-10:55:21	spd: 0
12/16/14-10:55:21	prx: 0

12/16/14-10:55:26	id: 1
12/16/14-10:55:26	run: False
12/16/14-10:55:26	loc: station_1
